,0
0,0.3196197412997406
1,0.0646116565845611
2,0.04363847516058256
3,0.03742387230719193
4,0.03355981143534521
5,0.030938726833796094
6,0.027845835799049815
7,0.025741241022199195
8,0.023762846738199304
9,0.022665849968967398
10,0.021529256522483067
11,0.020419315673095833
12,0.019559578177814174
13,0.019011705352819874
14,0.01824674806946991
15,0.017742328959945854
16,0.01741146351947841
17,0.016693456542315865
18,0.016386518560047074
19,0.015724274620159406
20,0.015644990294336303
21,0.015125700774242903
22,0.014947486975846467
23,0.014618753338707567
24,0.014603751772411412
25,0.014289561211036264
26,0.013870909432404339
27,0.013666671041125724
28,0.013655209198865766
29,0.01347734417706922
30,0.01327168972277211
31,0.013133460743612888
32,0.012956052761182772
33,0.012799766958051947
34,0.012595805912282314
35,0.012593227201872175
36,0.012347721833368039
37,0.01214465364442027
38,0.012005372073555088
39,0.011998805246122245
40,0.011866783617245922
41,0.011633336533473392
42,0.011451098842335996
43,0.011417873600770862
44,0.01131010961568948
45,0.011159762520003757
46,0.011005200769929361
47,0.011022975444989374
48,0.010887775511097994
49,0.010793257753262262
