,0
0,0.29091984286767647
1,0.05284164108769003
2,0.03562175553804329
3,0.0308996720178337
4,0.02726865383689944
5,0.024222105423036957
6,0.022141892553786336
7,0.02075769219755093
8,0.019397199437554212
9,0.018248875000591473
10,0.01673082939757794
11,0.015708823628314977
12,0.014765781539831935
13,0.013982667714352838
14,0.013683127483015343
15,0.013136811154898679
16,0.012702607046260495
17,0.012438433490336537
18,0.01207093528928775
19,0.011972432906933278
20,0.011767328725960076
21,0.011547553630533187
22,0.011565756373146
23,0.011398332126639111
24,0.011347969382898103
25,0.01101034747878536
26,0.011023654907071785
27,0.010776148486930799
28,0.010955811220455922
29,0.010648928143468872
30,0.010689692629326607
31,0.01047341105833843
32,0.010308003065422707
33,0.010154401696140802
34,0.010219556624778414
35,0.010304580745403332
36,0.01021867875305836
37,0.010110295106105387
38,0.010049574460781944
39,0.010120410071380703
40,0.010026111950127212
41,0.009953030622436111
42,0.009920354612664802
43,0.009835559102646952
44,0.009877572426746774
45,0.00994654846783301
46,0.009920121685319286
47,0.009737446937822487
48,0.009608818984353715
49,0.009786207569978658
