,0
0,0.23757963716817054
1,0.034633435749037586
2,0.025618369732971713
3,0.022254123681057503
4,0.01969024021289928
5,0.01752423629261961
6,0.015936899938036965
7,0.014805898770404691
8,0.014147139570871527
9,0.013367173307666525
10,0.01250547259014369
11,0.011924056874078694
12,0.011634334701713796
13,0.010890918742087485
14,0.010397186104182426
15,0.010245536341443698
16,0.009904208121525093
17,0.009308256757467397
18,0.00908717975725653
19,0.008903131897605844
20,0.00850762150674954
21,0.00843861676173938
22,0.00819028912517909
23,0.007947218515946718
24,0.007731961201948146
25,0.007445082186799319
26,0.007363614606733209
27,0.007168735562769622
28,0.006988881131035921
29,0.006768565679717231
30,0.006715217115645486
31,0.00658473139536607
32,0.0063103369639274315
33,0.006057600896221933
34,0.006201501060190734
35,0.005956635199761707
36,0.005892361214427965
37,0.005618690127061502
38,0.005675788709332775
39,0.005435290386431135
40,0.0054312653906511245
41,0.005288810552474087
42,0.005133976686788134
43,0.005053690690886097
44,0.004964673644140314
45,0.004875568828624982
46,0.00480870024101973
47,0.004795473303396022
48,0.0045492755242904056
49,0.0045439687157610535
