,0
0,0.17046226797824066
1,0.03333549454732805
2,0.023618517074326478
3,0.018706839445099613
4,0.016983628178864226
5,0.015422721745532388
6,0.013376942861836855
7,0.011738112401632656
8,0.010959516756226344
9,0.01007444229958976
10,0.009232987618226808
11,0.008910209008917817
12,0.008393138717653542
13,0.007873068718045276
14,0.007645731156651783
15,0.007251370948714324
16,0.006838088094287232
17,0.006696834807491397
18,0.006611286569507239
19,0.006341148816449503
20,0.006250922112264374
21,0.006009760748941241
22,0.006019065568999591
23,0.005891633502419596
24,0.005824813658211775
25,0.0056219173407371665
26,0.005643937386714998
27,0.005551034472346796
28,0.005461849367885913
29,0.005228739329905471
30,0.00521947665359376
31,0.0050338431466857144
32,0.005080816209396505
33,0.004878072839305729
34,0.004885586357869811
35,0.00478775166096321
36,0.0047582304791762235
37,0.0047192592135532506
38,0.004597024975413021
39,0.0045579233370181705
40,0.00449502079093912
41,0.0044660182459950685
42,0.004377099271727442
43,0.004393362641186225
44,0.004278410834635238
45,0.0042563442351476475
46,0.004159801969978307
47,0.004083867789500435
48,0.004127132183188541
49,0.00400015508801484
