,0
0,0.6576884881878016
1,0.10434907714719459
2,0.08147392085278078
3,0.07169635542163605
4,0.06666576278812267
5,0.06157357364566259
6,0.05694032401463582
7,0.054144191021387816
8,0.05150462318116506
9,0.04877662947730373
10,0.046675202281335676
11,0.04503118763161635
12,0.04352105800493481
13,0.04201242165701253
14,0.040653987031035246
15,0.039831802026617104
16,0.038769122077000125
17,0.03756835865680396
18,0.03675100929472464
19,0.03654187661794158
20,0.035311403612852385
21,0.03419775161188863
22,0.03344037799430097
23,0.03308095935228463
24,0.03224545219021505
25,0.03159127205646575
26,0.03098975510838987
27,0.030485050169689793
28,0.02965042885760442
29,0.029127631994388573
30,0.028737747088873285
31,0.028193550036900227
32,0.027724355765494736
33,0.02713665107081346
34,0.026672949000339997
35,0.026248303313493437
36,0.025817240569082595
37,0.0254338418840273
38,0.02482514695040927
39,0.02442545762306009
40,0.02386087342987833
41,0.02349850612530319
42,0.023072289727201704
43,0.022939867815331767
44,0.02260996686038306
45,0.021921385980316694
46,0.021676972603718054
47,0.02176715659111484
48,0.021249219568743486
49,0.021052958495942162
